main key,"""DisplayName"":","""DisplayMedium"":","""Width"":","""Height"":","""Description"":","""Price"":","""StockLive"":","""Stock"":","""Available"":","""Shipping"":","""SaleThumb"":","""images"":","""Tags"":"
bats_scarf,Bats,100% Silk,60,60,"Bats, bats, bats...

The scarf is printed on pure habotai silk with hand-rolled hems. It's designed to show off the illustrations whatever way it's worn. Each scarf is inspected and packed by the artist before shipping.",55,1,1,TRUE,[],null,[],[]
blushing-blossoms_scarf,Blushing Blossoms,100% Silk,80,80,"Blushing Blossoms features delicate, decorative, phallic iconography and is inspired by Berriblue's love for William Morris. The street art series 'Willies,' upon which this scarf was based, has proven very popular in Dublin, Porto, and beyond.

The limited-edition scarf is printed on pure habotai silk with hand-rolled hems. It's designed to show off the illustrations whatever way it's worn. Each scarf is inspected and packed by the artist before shipping.",125,1,1,TRUE,[],null,[],[]
chips-of-knowledge_scarf,Chips of Knowledge,100% Silk,60,60,"Chips of Knowledge is inspired by bold, gaudy 80's patterns. The eye of providence symbol is portrayed as a clichéed icon, repeated to the point of losing its meaning. Also, perhaps tortilla chips know something we don't.

The scarf is printed on pure habotai silk with hand-rolled hems. It's designed to show off the illustrations whatever way it's worn. Each scarf is inspected and packed by the artist before shipping.
",55,3,3,TRUE,[],null,[],[]
coughdrops_scarf,Coughdrops,100% Silk,60,60,"Coughdrops features a very traditional combination of teeth, lilac blooms, and lemon slices in rich, vibrant colours, just like your grandmother would have worn.

The scarf is printed on pure habotai silk with hand-rolled hems. It's designed to show off the illustrations whatever way it's worn. Each scarf is inspected and packed by the artist before shipping.",55,2,2,TRUE,[],null,[],[]
dance_scarf,Dance,100% Silk,60,60,"Dance!

The scarf is printed on pure chiffon silk with hand-rolled hems. It's designed to show off the illustrations whatever way it's worn. Each scarf is inspected and packed by the artist before shipping.",55,2,2,TRUE,[],null,[],[]
flutter_scarf,Flutter,100% Silk,60,60,"""...and there was a great fluttering of wings and the air was filled with love and feathers.""

The scarf is printed on pure habotai silk with hand-rolled hems. It's designed to show off the illustrations whatever way it's worn. Each scarf is inspected and packed by the artist before shipping.",55,5,5,TRUE,[],null,[],[]
go-fish_scarf,Go Fish,100% Silk,60,60,"Can you find them?

The scarf is printed on pure habotai silk with hand-rolled hems. It's designed to show off the illustrations whatever way it's worn. Each scarf is inspected and packed by the artist before shipping.",55,3,3,TRUE,[],null,[],[]
gossip_scarf,Gossip,100% Silk,60,60,"Gossip. Hurts doesn't it?

I know because she said he told her you said he'd mentioned she knew you said you did. Bitch.

The scarf is printed on pure habotai silk with hand-rolled hems. It's designed to show off the illustrations whatever way it's worn. Each scarf is inspected and packed by the artist before shipping and comes in its own lovely gift box.",55,2,2,TRUE,[],null,[],[]
jasmin-and-bones_scarf,Jasmin & Bones,100% Silk,90,90,"Jasmin & Bones is a unique limited edition illustrated silk scarf, based on several large murals painted by Berriblue in 2018. Snapshot illustrations are framed on a cluttered, erratic backdrop. The scarf features a bones and flowers motif. This design is limited to 100 copies.

The scarf is printed on pure habotai silk with hand-rolled hems. It’s designed to show off the illustrations whatever it’s worn. Each scarf is inspected and packed by the artist before shipping.",140,2,2,TRUE,[],null,[],[]
my-body_scarf,My Body,100% Silk,60,60,"This beautiful unisex scarf is printed on 100% habotai silk with hand rolled hems. It features a heart and womb motif and three slogans, 'My Body My Choice,' 'Her Body Her Choice,' and 'Pro Choice.' It can be worn different ways to show off the different slogans.

--

100% of the profits from each scarf will be donated to charities helping women to access affordable, safe, and legal abortions.",55,15,15,TRUE,[],null,[],[]
really-into-boats_scarf,Really Into Boats,100% Silk,60,60,"I'm really into boats at the moment

The scarf is printed on pure habotai silk with hand-rolled hems. It's designed to show off the illustrations whatever way it's worn. Each scarf is inspected and packed by the artist before shipping.",55,2,2,TRUE,[],null,[],[]
satans-mascara_scarf,Satan's Mascara,100% Silk,60,60,"Satan's Mascara is a street art series inspired by drag culture and the contradictions in gender perception, exploring the dichotomy of powerfully masculine femininity.

The scarf is printed on pure chiffon silk with hand-rolled hems. It's designed to show off the illustrations whatever way it's worn. Each scarf is inspected and packed by the artist before shipping and comes in a hand-signed box.",55,3,3,TRUE,[],null,[],[]
synthetic_scarf,Synthetic,100% Silk,80,80,"This limited edition silk scarf features artificial joy, set against a bubblegum pink backdrop.

The scarf is printed on pure habotai silk with hand-rolled hems. It's designed to show off the illustrations whatever way it's worn. Each scarf is inspected and packed by the artist before shipping.",159,4,4,TRUE,[],null,[],[]
tutti-frutti_scarf,Tutti Frutti,100% Silk,60,60,"Mortal fruit.

The scarf is printed on pure habotai silk with hand-rolled hems. It's designed to show off the illustrations whatever way it's worn. Each scarf is inspected and packed by the artist before shipping.",55,2,2,TRUE,[],null,[],[]